Model Name,Matching Word,Downloads,created_at,last_modified,contains_paper,paper_code,paper_code_clean,is_industry,is_valid,has_duplicate
ibm-granite/granite-3b-code-base-128k,code generation,480,2024-06-29 1:24:38,2024-06-29 1:24:38,TRUE,Context](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,TRUE,TRUE,TRUE
Salesforce/codegen2-3_7B_P,codegen,475,2023-04-25 2:08:59,2023-04-25 2:08:59,TRUE,Languages](https://arxiv.org/abs/2305.02309),https://arxiv.org/abs/2305.02309,TRUE,TRUE,
Qwen/Qwen2.5-Coder-1.5B-Instruct,code generation,475,2024-09-18 9:41:47,2024-09-18 9:41:47,TRUE,[Arxiv](https://arxiv.org/abs/2409.12186).,https://arxiv.org/abs/2409.12186,TRUE,TRUE,
ibm-granite/granite-8b-code-base-128k,code generation,472,2024-06-29 1:34:19,2024-06-29 1:34:19,TRUE,Context](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,TRUE,TRUE,TRUE
crusoeai/Arcee-Agent-GGUF,code generation,469,2024-07-02 19:39:23,2024-07-02 19:39:23,TRUE,[Spectrum](https://arxiv.org/abs/2406.06623).,https://arxiv.org/abs/2406.06623,,,
Salesforce/instructcodet5p-16b,code generation,445,2023-05-16 13:28:22,2023-05-16 13:28:22,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,TRUE,TRUE,TRUE
LoneStriker/OpenCodeInterpreter-DS-33B-GGUF,code generation,433,2024-02-24 15:19:19,2024-02-24 15:19:19,TRUE,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658,,,TRUE
nvidia/Minitron-8B-Base,code generation,433,2024-07-19 20:12:11,2024-07-19 20:12:11,TRUE,paper](https://arxiv.org/abs/2407.14679),https://arxiv.org/abs/2407.14679,TRUE,TRUE,TRUE
RichardErkhov/ibm-granite_-_granite-8b-code-instruct-128k-gguf,code generation,425,2024-08-22 21:46:09,2024-08-22 21:46:09,TRUE,Context](https://arxiv.org/abs/2407.13739),https://arxiv.org/abs/2407.13739,,,TRUE
RichardErkhov/ibm-granite_-_granite-34b-code-base-8k-gguf,code generation,425,2024-09-15 21:56:13,2024-09-15 21:56:13,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
Salesforce/codegen25-7b-mono_P,codegen,410,2023-07-06 7:34:35,2023-07-06 7:34:35,TRUE,"[CodeGen2](https://arxiv.org/abs/2305.02309),",https://arxiv.org/abs/2305.02309,TRUE,TRUE,
QuantFactory/Minitron-8B-Base-GGUF,code generation,389,2024-08-24 7:02:39,2024-08-24 7:02:39,TRUE,paper](https://arxiv.org/abs/2407.14679),https://arxiv.org/abs/2407.14679,,,
SparseLLM/prosparse-llama-2-13b,code generation,386,2024-02-19 6:52:50,2024-02-19 6:52:50,TRUE,[link](https://arxiv.org/pdf/2402.13516.pdf),https://arxiv.org/pdf/2402.13516,,TRUE,
SenseLLM/ReflectionCoder-DS-6.7B,code generation,376,2024-05-28 3:30:22,2024-05-28 3:30:22,TRUE,"href=""https://arxiv.org/abs/2405.17057"">塘",https://arxiv.org/abs/2405.17057,,TRUE,TRUE
QuantFactory/Minitron-4B-Base-GGUF,code generation,373,2024-08-24 6:00:55,2024-08-24 6:00:55,TRUE,paper](https://arxiv.org/abs/2407.14679),https://arxiv.org/abs/2407.14679,,,
unsloth/Hermes-3-Llama-3.1-70B-bnb-4bit,code generation,368,2024-09-03 3:32:24,2024-09-03 3:32:24,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,TRUE,,TRUE
Salesforce/codegen25-7b-multi_P,codegen,362,2023-07-06 20:09:50,2023-07-06 20:09:50,TRUE,"[CodeGen2](https://arxiv.org/abs/2305.02309),",https://arxiv.org/abs/2305.02309,TRUE,TRUE,
SenseLLM/ReflectionCoder-DS-33B,code generation,362,2024-05-28 3:33:23,2024-05-28 3:33:23,TRUE,"href=""https://arxiv.org/abs/2405.17057"">塘",https://arxiv.org/abs/2405.17057,,TRUE,TRUE
Finnish-NLP/Ahma-3B-Instruct,code generation,353,2024-07-10 10:58:25,2024-07-10 10:58:25,TRUE,paper](https://arxiv.org/abs/2302.13971),https://arxiv.org/abs/2302.13971,,TRUE,TRUE
RichardErkhov/ibm-granite_-_granite-3b-code-instruct-128k-gguf,code generation,351,2024-08-22 20:33:25,2024-08-22 20:33:25,TRUE,Context](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
SenseLLM/ReflectionCoder-CL-34B,code generation,341,2024-05-28 3:32:56,2024-05-28 3:32:56,TRUE,"href=""https://arxiv.org/abs/2405.17057"">塘",https://arxiv.org/abs/2405.17057,,TRUE,TRUE
RichardErkhov/smallcloudai_-_Refact-1_6B-fim-gguf,codegen,334,2024-08-26 19:56:33,2024-08-26 19:56:33,TRUE,arxiv,,,,TRUE
Salesforce/codet5p-16b,code generation,330,2023-05-17 2:23:58,2023-05-17 2:23:58,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,TRUE,TRUE,TRUE
TheBloke/CodeUp-Llama-2-13B-Chat-HF-GGUF,code generation,317,2023-09-05 15:33:42,2023-09-05 15:33:42,TRUE,[LoRA](https://arxiv.org/abs/2106.09685)),https://arxiv.org/abs/2106.09685,,,
ibm/PowerMoE-3b,code generation,316,2024-08-14 18:44:21,2024-08-14 18:44:21,TRUE,https://arxiv.org/abs/2408.13359,https://arxiv.org/abs/2408.13359,TRUE,TRUE,
RichardErkhov/m-a-p_-_OpenCodeInterpreter-DS-1.3B-gguf,code generation,308,2024-06-29 18:08:41,2024-06-29 18:08:41,TRUE,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658,,,TRUE
RichardErkhov/unsloth_-_Phi-3.5-mini-instruct-gguf,code generation,303,2024-08-25 1:46:34,2024-08-25 1:46:34,TRUE,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219,,,TRUE
RUCKBReasoning/TableLLM-7b,code generation,297,2024-02-06 12:07:20,2024-02-06 12:07:20,TRUE,**[Paper](https://arxiv.org/abs/2403.19318)**,https://arxiv.org/abs/2403.19318,,TRUE,TRUE
RichardErkhov/Wanfq_-_FuseLLM-7B-gguf,code generation,295,2024-09-03 2:48:23,2024-09-03 2:48:23,TRUE,"href=""https://arxiv.org/abs/2401.10491"">",https://arxiv.org/abs/2401.10491,,,
THUDM/codegeex2-6b,code generation,279,2023-07-19 8:25:26,2023-07-19 8:25:26,TRUE,"href=""https://arxiv.org/abs/2303.17568""",https://arxiv.org/abs/2303.17568,,TRUE,
microsoft/wavecoder-ultra-6.7b,code generation,278,2024-04-11 4:29:56,2024-04-11 4:29:56,TRUE,"href=""https://arxiv.org/abs/2312.14187""><b>[糖",https://arxiv.org/abs/2312.14187,TRUE,TRUE,
maddes8cht/syzymon-long_llama_3b_instruct-gguf,code generation,277,2023-11-26 21:33:10,2023-11-26 21:33:10,TRUE,(FoT)](https://arxiv.org/abs/2307.03170),https://arxiv.org/abs/2307.03170,,,
LoneStriker/OpenCodeInterpreter-DS-6.7B-GGUF,code generation,277,2024-02-24 14:56:01,2024-02-24 14:56:01,TRUE,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658,,,TRUE
RichardErkhov/ibm-granite_-_granite-3b-code-base-128k-gguf,code generation,272,2024-08-22 9:39:47,2024-08-22 9:39:47,TRUE,Context](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
RichardErkhov/NousResearch_-_Hermes-3-Llama-3.1-70B-gguf,code generation,271,2024-09-08 10:21:10,2024-09-08 10:21:10,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,,,TRUE
lmstudio-community/wavecoder-ultra-6.7b-GGUF,code generation,266,2024-04-16 16:26:54,2024-04-16 16:26:54,TRUE,[here](https://arxiv.org/abs/2312.14187),https://arxiv.org/abs/2312.14187,,,
LoneStriker/Phi-3.5-mini-instruct-GGUF,code generation,266,2024-08-20 19:55:52,2024-08-20 19:55:52,TRUE,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219,,,TRUE
LoneStriker/OpenCodeInterpreter-CL-7B-GGUF,code generation,264,2024-02-24 9:15:43,2024-02-24 9:15:43,TRUE,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658,,,
maddes8cht/syzymon-long_llama_3b_v1_1-gguf,code generation,254,2023-11-26 21:33:11,2023-11-26 21:33:11,TRUE,(FoT)](https://arxiv.org/abs/2307.03170),https://arxiv.org/abs/2307.03170,,,
LoneStriker/OpenCodeInterpreter-CL-13B-GGUF,code generation,249,2024-02-24 15:55:57,2024-02-24 15:55:57,TRUE,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658,,,
nvidia/Llama-3.1-Minitron-4B-Width-Base,code generation,246,2024-08-13 20:57:26,2024-08-13 20:57:26,TRUE,report](https://arxiv.org/abs/2408.11796),https://arxiv.org/abs/2408.11796,TRUE,TRUE,
replit/replit-code-v1-3b,code generation,236,2023-04-28 19:00:45,2023-04-28 19:00:45,TRUE,dataset](https://arxiv.org/abs/2211.15533).,https://arxiv.org/abs/2211.15533,TRUE,TRUE,
Salesforce/codet5p-6b,code generation,236,2023-05-17 2:23:24,2023-05-17 2:23:24,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,TRUE,TRUE,TRUE
LoneStriker/OpenCodeInterpreter-CL-70B-GGUF,code generation,236,2024-02-24 8:58:04,2024-02-24 8:58:04,TRUE,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658,,,
QuantFactory/granite-3b-code-base-128k-GGUF,code generation,236,2024-09-07 15:48:08,2024-09-07 15:48:08,TRUE,Context](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
maddes8cht/mosaicml-mpt-30b-chat-gguf,codegen,235,2023-10-26 18:49:30,2023-10-26 18:49:30,TRUE,"[FlashAttention](https://arxiv.org/pdf/2205.14135.pdf),",https://arxiv.org/pdf/2205.14135,,,
TheBloke/yayi2-30B-llama-GGUF,code generation,233,2024-01-01 14:37:11,2024-01-01 14:37:11,TRUE,2](https://arxiv.org/abs/2307.09288),https://arxiv.org/abs/2307.09288,,,
RichardErkhov/ibm-granite_-_granite-8b-code-base-gguf,code generation,231,2024-08-19 11:32:50,2024-08-19 11:32:50,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
RichardErkhov/SenseLLM_-_ReflectionCoder-DS-33B-gguf,code generation,222,2024-09-16 15:08:11,2024-09-16 15:08:11,TRUE,"href=""https://arxiv.org/abs/2405.17057"">塘",https://arxiv.org/abs/2405.17057,,,
RichardErkhov/Finnish-NLP_-_Ahma-3B-Instruct-gguf,code generation,216,2024-08-22 18:34:01,2024-08-22 18:34:01,TRUE,paper](https://arxiv.org/abs/2302.13971),https://arxiv.org/abs/2302.13971,,,
RichardErkhov/ibm-granite_-_granite-3b-code-base-gguf,code generation,204,2024-08-19 17:38:48,2024-08-19 17:38:48,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
maddes8cht/smallcloudai-Refact-1_6B-fim-gguf,codegen,192,2023-11-29 11:28:05,2023-11-29 11:28:05,TRUE,arxiv,,,,TRUE
maddes8cht/mosaicml-mpt-7b-8k-chat-gguf,codegen,188,2023-10-27 21:43:55,2023-10-27 21:43:55,TRUE,"[FlashAttention](https://arxiv.org/pdf/2205.14135.pdf),",https://arxiv.org/pdf/2205.14135,,,
TheBloke/tulu-13B-GGUF,code generation,186,2023-09-19 21:52:01,2023-09-19 21:52:01,TRUE,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751,,,
RichardErkhov/Finnish-NLP_-_Ahma-3B-gguf,code generation,183,2024-08-19 2:14:03,2024-08-19 2:14:03,TRUE,paper](https://arxiv.org/abs/2302.13971),https://arxiv.org/abs/2302.13971,,,
QuantFactory/Qwen2.5-Coder-7B-GGUF,code generation,183,2024-09-19 5:21:50,2024-09-19 5:21:50,TRUE,"[YaRN](https://arxiv.org/abs/2309.00071),",https://arxiv.org/abs/2309.00071,,,
QuantFactory/Qwen2.5-Coder-7B-Instruct-GGUF,code generation,179,2024-09-19 6:10:06,2024-09-19 6:10:06,TRUE,"[YaRN](https://arxiv.org/abs/2309.00071),",https://arxiv.org/abs/2309.00071,,,
QuantFactory/granite-8b-code-instruct-128k-GGUF,code generation,175,2024-09-07 16:16:53,2024-09-07 16:16:53,TRUE,Context](https://arxiv.org/abs/2407.13739),https://arxiv.org/abs/2407.13739,,,TRUE
TheBloke/tulu-7B-GGUF,code generation,174,2023-09-20 2:43:32,2023-09-20 2:43:32,TRUE,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751,,,
Finnish-NLP/Ahma-7B,code generation,166,2024-02-10 20:53:34,2024-02-10 20:53:34,TRUE,paper](https://arxiv.org/abs/2302.13971),https://arxiv.org/abs/2302.13971,,TRUE,TRUE
jncraton/codet5p-220m-py-ct2-int8,code generation,164,2023-06-30 18:48:16,2023-06-30 18:48:16,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,,,TRUE
Wanfq/FuseLLM-7B,code generation,157,2024-01-21 12:35:34,2024-01-21 12:35:34,TRUE,"href=""https://arxiv.org/abs/2401.10491"">",https://arxiv.org/abs/2401.10491,,TRUE,
TheBloke/tulu-30B-GGUF,code generation,150,2023-09-20 2:43:18,2023-09-20 2:43:18,TRUE,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751,,,
sokada/codegen25-7b-multi-gguf-with-dummy-tokenizer,codegen,150,2023-11-29 13:12:01,2023-11-29 13:12:01,TRUE,"[CodeGen2](https://arxiv.org/abs/2305.02309),",https://arxiv.org/abs/2305.02309,,,
RichardErkhov/tokyotech-llm_-_Llama-3-Swallow-70B-v0.1-gguf,code generation,144,2024-09-05 12:43:01,2024-09-05 12:43:01,TRUE,Corpus](https://arxiv.org/abs/2404.17733),https://arxiv.org/abs/2404.17733,,,TRUE
RichardErkhov/SparseLLM_-_prosparse-llama-2-7b-gguf,code generation,144,2024-09-08 3:04:40,2024-09-08 3:04:40,TRUE,[link](https://arxiv.org/pdf/2402.13516.pdf),https://arxiv.org/pdf/2402.13516,,,
unsloth/Hermes-3-Llama-3.1-405B-bnb-4bit,code generation,140,2024-09-03 6:05:16,2024-09-03 6:05:16,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,TRUE,,TRUE
RichardErkhov/ibm-granite_-_granite-20b-code-base-r1.1-gguf,code generation,140,2024-09-17 5:20:46,2024-09-17 5:20:46,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
allenai/open-instruct-pythia-6.9b-tulu,code generation,139,2023-06-13 15:43:21,2023-06-13 15:43:21,TRUE,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751,,TRUE,TRUE
jncraton/codet5p-770m-py-ct2-int8,code generation,132,2023-07-08 20:47:01,2023-07-08 20:47:01,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,,,TRUE
Finnish-NLP/Ahma-3B,code generation,131,2024-02-03 19:27:52,2024-02-03 19:27:52,TRUE,paper](https://arxiv.org/abs/2302.13971),https://arxiv.org/abs/2302.13971,,TRUE,TRUE
RichardErkhov/internlm_-_AlchemistCoder-L-7B-gguf,code generation,127,2024-09-19 23:58:16,2024-09-19 23:58:16,TRUE,Paper](https://arxiv.org/abs/2405.19265)],https://arxiv.org/abs/2405.19265,,,
com3dian/Bart-large-paper2slides-expander,code gen,125,2023-07-13 15:35:11,2023-07-13 15:35:11,TRUE,Only](https://arxiv.org/abs/1711.00043)'.,https://arxiv.org/abs/1711.00043,,TRUE,
parsak/phi-2-code-instruct-gguf,code-generation,116,2024-01-18 12:55:21,2024-01-18 12:55:21,TRUE,(2019)](https://arxiv.org/abs/1910.09700).,https://arxiv.org/abs/1910.09700,,,
RichardErkhov/ibm-granite_-_granite-20b-code-base-gguf,code generation,114,2024-06-04 1:18:38,2024-06-04 1:18:38,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
Bin12345/AutoCoder,code generation,114,2024-05-13 21:00:10,2024-05-13 21:00:10,TRUE,https://arxiv.org/abs/2405.14906,https://arxiv.org/abs/2405.14906,,TRUE,
QuantFactory/AutoCoder_S_6.7B-GGUF,code generation,113,2024-06-01 16:42:41,2024-06-01 16:42:41,TRUE,https://arxiv.org/abs/2405.14906,https://arxiv.org/abs/2405.14906,,,
QuantFactory/granite-3b-code-base-2k-GGUF,code generation,111,2024-09-07 15:18:40,2024-09-07 15:18:40,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,,,TRUE
CISCai/OpenCodeInterpreter-DS-6.7B-SOTA-GGUF,code generation,107,2024-02-26 18:10:08,2024-02-26 18:10:08,TRUE,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658,,,TRUE